period,open_funds_count,open_funds_assets,closed_funds_count,closed_funds_assets,total_funds_count,total_assets,local_shares,foreign_shares,local_bonds,foreign_bonds,local_funds,foreign_funds,local_other,foreign_other,local_real_estate,total_assets_by_type,active_funds_count,subscribers_count,local_assets_total,foreign_assets_total,grand_total_assets,local_pct,foreign_pct
2021-07-01,226.0,210286.35,28.0,29520.13,254.0,239806.48,21526.3,5961.18,15859.75,4078.39,75714.81,73553.45,15243.15,848.85,27020.58,239806.46,254,446731,155364.62,84441.87,239806.49,64.79,35.21
2021-10-01,230.0,197906.8,26.0,29267.32,256.0,227173.4,19938.94,6424.98,16830.29,3485.48,69518.38,68651.99,14667.46,921.74,26734.14,227173.4,256,529312,147689.21,79484.19,227173.4,65.01,34.99
2022-01-01,227.0,184864.48,26.0,30818.64,253.0,215683.11,24103.08,2438.64,18627.93,3364.62,69044.88,51071.77,18312.15,723.37,27996.67,215683.11,253,508805,158084.71,57598.4,215683.11,73.29,26.71
2022-04-01,229.0,159748.71,25.0,32764.73,254.0,192513.43,17710.17,2657.99,17373.83,4127.63,64909.7,42342.49,13818.51,724.62,28848.48,192513.42,254,665763,142660.7,49852.73,192513.43,74.1,25.9
2022-07-01,229.0,148088.64,24.0,26256.03,253.0,174344.67,21023.79,3088.92,17399.32,2722.43,60754.13,33312.13,12301.32,558.87,23183.76,174344.67,253,662617,134662.32,39682.36,174344.68,77.24,22.76
2022-10-01,230.0,98799.98,25.0,27305.03,255.0,126105.01,19442.42,3367.8,16894.84,2904.75,30812.44,18089.12,10562.81,557.34,23473.48,126105.0,255,652869,101186.01,24919.0,126105.01,80.24,19.76
2023-01-01,235.0,87959.5,25.0,28049.3,260.0,116008.8,20316.11,3539.14,16437.6,2488.78,24381.95,13741.12,9992.1,652.96,24459.04,116008.8,260,719712,95586.8,20422.0,116008.8,82.4,17.6
2023-04-01,251.0,92859.38,25.0,28148.22,276.0,121007.6,22173.63,3897.12,15186.47,2767.93,21220.34,19340.42,11646.59,647.16,24127.93,121007.59,276,818500,94354.96,26652.64,121007.6,77.97,22.03
2023-07-01,259.0,88117.415,24.0,28999.72,283.0,117117.135,22814.45,3524.31,13837.57,3043.31,22683.35,14935.92,10914.46,780.32,24583.45,117117.14,283,1042484,94833.275,22283.86,117117.135,80.97,19.03
2023-10-01,267.0,93298.1,24.0,29279.4,291.0,122577.5,27903.9,3497.3,13786.9,2711.2,23766.8,14524.9,10994.2,662.7,24729.6,122577.5,291,1080455,101181.5,21396.0,122577.5,82.54,17.46
2024-01-01,272.0,107774.74,26.0,28885.04,298.0,136659.79,33593.19,4188.85,11941.19,1979.09,30408.28,14057.51,14107.12,761.6,25622.97,136659.8,298,1162753,115672.74,20987.05,136659.79,84.64,15.36
2024-04-01,278.0,116169.6,27.0,28797.67,305.0,144967.27,36346.1,4655.6,13012.4,1370.0,35629.1,13222.3,14230.3,731.8,25769.6,144967.2,305,1230917,124987.58,19979.69,144967.27,86.22,13.78
2024-07-01,284.0,128705.0,26.0,31382.0,310.0,160087.0,41343.0,8777.0,11583.0,1493.0,41376.5,14177.0,12537.0,1208.0,27592.0,160086.5,310,1570452,134431.29,25655.53,160086.82,83.97,16.03
2024-10-01,298.0,143038.15,27.0,31411.7,325.0,174449.85,42934.79,15069.57,12736.63,1848.38,46519.85,12189.36,14048.87,1483.82,27618.58,174449.85,325,1571635,144584.56,29865.29,174449.85,82.88,17.12
2025-01-01,295.0,161772.53,27.0,31227.58,322.0,193000.11,48026.0,11086.85,11881.77,1828.42,60595.22,9866.87,16060.72,6567.79,27086.47,193000.11,322,1597079,163650.18,29349.93,193000.11,84.79,15.21
2025-04-01,301.0,175719.0,27.0,30520.05,328.0,206239.23,46227.69,10152.99,12338.78,1633.26,73147.22,9263.21,19972.38,7150.64,26353.06,206239.23,328,1606592,178039.13,28200.1,206239.23,86.33,13.67
